id_nf,data_venda,cliente_id,cliente_nome,marca_carro,modelo_carro,produto_peca,valor_unitario,quantidade,custo_unitario,loja_id,loja_nome,grupo_loja,vendedor_id,vendedor_nome
NF150012,2024-07-25,40008838737167,Ned Stark,Carvex,BZ Turbo,Pastilha de Freio,154.31,6.0,104.36,100201,AutoParts São Paulo,Grupo Titan,V003,Tony Stark
NF150013,2024-01-15,14620168493,Davos Seaworth,Carvex,BZ Turbo,Amortecedor,669.45,6.0,557.81,100201,AutoParts São Paulo,Grupo Titan,V003,Tony Stark
NF150014,2025-05-31,01412690604,Brienne of Tarth,Ravion,DX Hybrid,Bateria,394.69,3.0,285.01,200302,Auto Rio Peças,Grupo Atlantico,V004,Peter Parker
NF150015,2024-03-28,37407188181741,Arya Stark,Velox,BZ Turbo,Correia Dentada,319.61,5.0,268.77,100201,AutoParts São Paulo,Grupo Titan,V004,Peter Parker
NF150016,2024-03-20,74137484777183,Daenerys Targaryen,MotoriX,AX1,Amortecedor,929.59,4.0,580.58,100201,AutoParts São Paulo,Grupo Titan,V004,Peter Parker
NF150017,2024-03-17,53776020776426,Jaime Lannister,Carvex,AX1,Amortecedor,869.43,5.0,791.0,200302,Auto Rio Peças,Grupo Atlantico,V004,Peter Parker
NF150018,2024-09-16,51669156404,Samwell Tarly,Autron,AX1,Correia Dentada,83.0,3.0,72.09,100201,AutoParts São Paulo,Grupo Titan,V005,Diana Prince
NF150019,2025-04-28,65444463478,Ned Stark,Velox,BZ Turbo,Filtro de Óleo,855.48,2.0,689.72,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V003,Tony Stark
NF150020,2025-02-26,66836450749,Jon Snow,MotoriX,DX Hybrid,Bateria,380.48,5.0,239.38,200302,Auto Rio Peças,Grupo Atlantico,V001,Bruce Wayne
NF150021,2024-09-11,13228171800,Jaime Lannister,Carvex,BZ Turbo,Bateria,922.5,1.0,669.08,400502,Sul Auto Parts,Grupo Pampas,V008,Barry Allen
NF150022,2025-06-22,14365370565630,Samwell Tarly,Ravion,AX1,Pastilha de Freio,81.98,5.0,57.1,200302,Auto Rio Peças,Grupo Atlantico,V008,Barry Allen
NF150023,2024-10-29,19792376092,Davos Seaworth,Velox,CX Sport,Pastilha de Freio,932.6,2.0,652.59,200302,Auto Rio Peças,Grupo Atlantico,V005,Diana Prince
NF150024,2024-12-05,36546107358735,Samwell Tarly,MotoriX,AX1,Correia Dentada,399.08,5.0,334.76,400501,AutoParts Sul,Grupo Pampa,V006,Steve Rogers
NF150025,2024-09-20,31955459045,Davos Seaworth,MotoriX,BZ Turbo,Filtro de Óleo,506.58,6.0,428.23,100202,Auto Parts SP Centro,Grupo Tytan,V001,Bruce Wayne
NF150026,2024-11-23,07885261149131,Cersei Lannister,MotoriX,BZ Turbo,Pastilha de Freio,1460.42,6.0,1018.0,200302,Auto Rio Peças,Grupo Atlantico,V006,Steve Rogers
NF150027,2024-10-27,32493516438831,Jon Snow,Autron,AX1,Correia Dentada,308.64,4.0,246.45,100202,Auto Parts SP Centro,Grupo Tytan,V005,Diana Prince
NF150028,2024-05-02,03993158279,Robb Stark,Velox,AX1,Amortecedor,1598.46,2.0,1389.03,300401,AutoParts Minas,Grupo Serra,V004,Peter Parker
NF150029,2024-03-05,61682812646,Jon Snow,MotoriX,BZ Turbo,Correia Dentada,783.47,3.0,516.5,400502,Sul Auto Parts,Grupo Pampas,V008,Barry Allen
NF150030,2024-01-16,54282116734207,Jon Snow,Ravion,DX Hybrid,Filtro de Óleo,275.29,1.0,200.96,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V003,Tony Stark
NF150031,2025-09-21,12330805169784,Sansa Stark,Ravion,BZ Turbo,Correia Dentada,1635.26,5.0,1341.29,200302,Auto Rio Peças,Grupo Atlantico,V007,Natasha Romanoff
NF150032,2024-08-28,51788002158108,Theon Greyjoy,Velox,AX1,Filtro de Óleo,749.44,,556.81,400502,Sul Auto Parts,Grupo Pampas,V008,Barry Allen
NF150033,2024-06-18,48739498355032,Tyrion Lannister,Carvex,CX Sport,Correia Dentada,1793.33,6.0,1473.43,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150034,2025-07-22,25517329048449,Samwell Tarly,Autron,AX1,Pastilha de Freio,370.24,3.0,235.78,300402,Minas Auto Peças,Grupo Serras,V008,Barry Allen
NF150035,2025-05-15,39000095418,Davos Seaworth,Velox,BZ Turbo,Correia Dentada,336.91,5.0,269.59,100201,AutoParts São Paulo,Grupo Titan,V003,Tony Stark
NF150036,2024-02-27,85997987320,Jaime Lannister,Velox,EX Classic,Bateria,244.78,6.0,158.2,300401,AutoParts Minas,Grupo Serra,V001,Bruce Wayne
NF150037,2024-11-03,07806671723,Daenerys Targaryen,Ravion,AX1,Pastilha de Freio,1185.43,6.0,954.63,300401,AutoParts Minas,Grupo Serra,V002,Clark Kent
NF150038,2025-02-02,59368778006,Robb Stark,Velox,CX Sport,Pastilha de Freio,527.83,2.0,458.87,300402,Minas Auto Peças,Grupo Serras,V004,Peter Parker
NF150039,2024-03-08,95381613331,Bran Stark,Carvex,CX Sport,Filtro de Óleo,1285.27,1.0,788.29,100202,Auto Parts SP Centro,Grupo Tytan,V001,Bruce Wayne
NF150040,2025-09-25,06068157089,Cersei Lannister,Velox,DX Hybrid,Bateria,1311.11,3.0,1168.6,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150041,2025-05-25,21178155166,Ned Stark,Ravion,EX Classic,Filtro de Óleo,677.16,5.0,462.76,200302,Auto Rio Peças,Grupo Atlantico,V004,Peter Parker
NF150042,2025-04-19,74932573834,Tyrion Lannister,Autron,BZ Turbo,Correia Dentada,679.39,3.0,521.06,300402,Minas Auto Peças,Grupo Serras,V003,Tony Stark
NF150043,2025-10-15,14367006638,Theon Greyjoy,Velox,AX1,Correia Dentada,339.65,2.0,290.18,200302,Auto Rio Peças,Grupo Atlantico,V002,Clark Kent
NF150044,2024-09-13,67709682506,Samwell Tarly,MotoriX,EX Classic,Filtro de Óleo,823.95,3.0,660.02,400501,AutoParts Sul,Grupo Pampa,V003,Tony Stark
NF150045,2025-02-05,81950446600,Tyrion Lannister,Velox,AX1,Pastilha de Freio,1179.53,3.0,904.63,200302,Auto Rio Peças,Grupo Atlantico,V003,Tony Stark
NF150046,2024-10-28,04534577691524,Jon Snow,Autron,EX Classic,Amortecedor,886.95,5.0,736.72,400501,AutoParts Sul,Grupo Pampa,V008,Barry Allen
NF150047,2024-03-14,36829918437381,Theon Greyjoy,Autron,EX Classic,Filtro de Óleo,1428.55,2.0,1099.71,100201,AutoParts São Paulo,Grupo Titan,V004,Peter Parker
NF150048,2024-05-27,73728902579,Ned Stark,MotoriX,DX Hybrid,Pastilha de Freio,534.93,2.0,462.53,400502,Sul Auto Parts,Grupo Pampas,V008,Barry Allen
NF150049,2025-04-30,45765848537153,Samwell Tarly,Carvex,BZ Turbo,Bateria,138.3,6.0,101.37,300402,Minas Auto Peças,Grupo Serras,V006,Steve Rogers
NF150050,2025-02-12,41003790889,Bran Stark,Velox,CX Sport,Bateria,1753.13,1.0,1491.82,400501,AutoParts Sul,Grupo Pampa,V001,Bruce Wayne
NF150051,2025-08-04,80169671069,Brienne of Tarth,Autron,BZ Turbo,Filtro de Óleo,1301.43,,857.81,100201,AutoParts São Paulo,Grupo Titan,V008,Barry Allen
NF150052,2025-01-09,09164492790559,Cersei Lannister,Velox,BZ Turbo,Filtro de Óleo,301.83,1.0,207.7,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V001,Bruce Wayne
NF150053,2025-08-03,49636669374054,Jaime Lannister,Velox,EX Classic,Filtro de Óleo,704.82,6.0,459.89,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150054,2024-12-21,67349067818513,Robb Stark,Ravion,CX Sport,Bateria,576.26,2.0,495.45,300401,AutoParts Minas,Grupo Serra,V008,Barry Allen
NF150055,2025-01-06,99568230751,Brienne of Tarth,Ravion,DX Hybrid,Bateria,632.11,5.0,498.47,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V005,Diana Prince
NF150056,2024-09-17,05326100085,Cersei Lannister,Velox,CX Sport,Pastilha de Freio,1055.56,3.0,945.95,400502,Sul Auto Parts,Grupo Pampas,V003,Tony Stark
NF150057,2024-02-18,48701250349,Jorah Mormont,Velox,AX1,Correia Dentada,1785.75,2.0,1169.81,100201,AutoParts São Paulo,Grupo Titan,V001,Bruce Wayne
NF150058,2024-05-23,71601755371,Tyrion Lannister,Autron,CX Sport,Bateria,1313.63,2.0,1123.98,100202,Auto Parts SP Centro,Grupo Tytan,V006,Steve Rogers
NF150059,2024-04-26,64331646204207,Ned Stark,Velox,DX Hybrid,Filtro de Óleo,1524.05,3.0,1306.61,400502,Sul Auto Parts,Grupo Pampas,V008,Barry Allen
NF150060,2024-10-10,97423293943018,Brienne of Tarth,Autron,EX Classic,Amortecedor,1438.05,5.0,994.62,400501,AutoParts Sul,Grupo Pampa,V004,Peter Parker
NF150061,2025-11-12,58781153569041,Cersei Lannister,Ravion,AX1,Bateria,656.58,,575.59,400502,Sul Auto Parts,Grupo Pampas,V003,Tony Stark
NF150062,2024-04-15,78371512041779,Daenerys Targaryen,Autron,AX1,Correia Dentada,1463.74,2.0,887.93,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V003,Tony Stark
NF150063,2024-06-17,63569568058253,Theon Greyjoy,Autron,CX Sport,Filtro de Óleo,1601.23,5.0,1263.98,400502,Sul Auto Parts,Grupo Pampas,V007,Natasha Romanoff
NF150064,2025-03-06,67000949480,Jon Snow,Ravion,EX Classic,Amortecedor,992.97,1.0,698.84,200302,Auto Rio Peças,Grupo Atlantico,V003,Tony Stark
NF150065,2025-02-20,94431847993,Arya Stark,Ravion,EX Classic,Correia Dentada,225.3,5.0,173.67,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V005,Diana Prince
NF150066,2025-07-24,95708675183265,Tyrion Lannister,Velox,EX Classic,Bateria,1747.72,4.0,1055.28,200302,Auto Rio Peças,Grupo Atlantico,V006,Steve Rogers
NF150067,2025-10-07,26499167745456,Theon Greyjoy,Carvex,AX1,Correia Dentada,1541.99,5.0,972.1,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150068,2024-03-31,55935360004,Robb Stark,Carvex,DX Hybrid,Filtro de Óleo,734.76,3.0,484.17,400501,AutoParts Sul,Grupo Pampa,V004,Peter Parker
NF150069,2025-03-07,76799581255,Ned Stark,Velox,DX Hybrid,Pastilha de Freio,1243.54,5.0,837.36,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V004,Peter Parker
NF150070,2024-01-11,04804619003,Ned Stark,Ravion,AX1,Filtro de Óleo,183.49,5.0,145.51,100201,AutoParts São Paulo,Grupo Titan,V007,Natasha Romanoff
NF150071,2025-10-27,09523542041,Robb Stark,Velox,BZ Turbo,Pastilha de Freio,252.18,2.0,227.8,400501,AutoParts Sul,Grupo Pampa,V001,Bruce Wayne
NF150072,2025-03-04,94713693646,Bran Stark,Ravion,DX Hybrid,Amortecedor,155.64,5.0,135.95,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150073,2024-07-14,21348287732553,Jaime Lannister,Ravion,BZ Turbo,Amortecedor,773.5,1.0,702.02,200302,Auto Rio Peças,Grupo Atlantico,V007,Natasha Romanoff
NF150074,2025-08-24,58369832181,Daenerys Targaryen,Ravion,CX Sport,Bateria,1715.62,5.0,1141.61,300401,AutoParts Minas,Grupo Serra,V008,Barry Allen
NF150075,2024-10-16,56724205560,Jaime Lannister,Velox,CX Sport,Pastilha de Freio,1384.54,2.0,859.93,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V007,Natasha Romanoff
NF150076,2025-06-17,31053516693481,Jaime Lannister,MotoriX,CX Sport,Bateria,734.88,1.0,570.82,200302,Auto Rio Peças,Grupo Atlantico,V008,Barry Allen
NF150077,2025-11-20,84302556134227,Arya Stark,Velox,AX1,Bateria,1350.41,6.0,1080.74,200302,Auto Rio Peças,Grupo Atlantico,V007,Natasha Romanoff
NF150078,2024-12-07,05730044314712,Cersei Lannister,MotoriX,EX Classic,Amortecedor,1269.42,2.0,1141.81,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V004,Peter Parker
NF150079,2024-12-05,94176738505,Daenerys Targaryen,Carvex,EX Classic,Amortecedor,-577.95,5.0,360.05,400502,Sul Auto Parts,Grupo Pampas,V002,Clark Kent
NF150080,2024-09-02,00196037672,Arya Stark,Carvex,AX1,Filtro de Óleo,732.53,6.0,632.98,300402,Minas Auto Peças,Grupo Serras,V005,Diana Prince
NF150081,2024-03-05,70226407959,Samwell Tarly,Carvex,EX Classic,Amortecedor,1526.22,5.0,1123.51,400501,AutoParts Sul,Grupo Pampa,V006,Steve Rogers
NF150082,2025-06-27,58397641323813,Theon Greyjoy,Autron,BZ Turbo,Bateria,1051.84,4.0,951.81,300401,AutoParts Minas,Grupo Serra,V006,Steve Rogers
NF150083,2025-02-21,17288818176,Jon Snow,Ravion,BZ Turbo,Correia Dentada,1232.81,6.0,932.71,100202,Auto Parts SP Centro,Grupo Tytan,V002,Clark Kent
NF150084,2024-12-29,25504135885,Samwell Tarly,MotoriX,AX1,Bateria,595.88,6.0,383.38,200302,Auto Rio Peças,Grupo Atlantico,V002,Clark Kent
NF150085,2025-12-04,62948470052,Brienne of Tarth,Ravion,EX Classic,Filtro de Óleo,836.59,1.0,632.61,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V005,Diana Prince
NF150086,2024-06-22,75303790224641,Bran Stark,Ravion,EX Classic,Bateria,700.8,5.0,468.99,100201,AutoParts São Paulo,Grupo Titan,V004,Peter Parker
NF150087,2025-03-12,91543214558,Tyrion Lannister,Velox,AX1,Correia Dentada,1085.19,2.0,995.66,100202,Auto Parts SP Centro,Grupo Tytan,V004,Peter Parker
NF150088,2024-11-04,44985139192,Theon Greyjoy,Carvex,BZ Turbo,Filtro de Óleo,776.57,4.0,607.27,100202,Auto Parts SP Centro,Grupo Tytan,V003,Tony Stark
NF150089,2024-09-04,02901195203,Brienne of Tarth,MotoriX,AX1,Filtro de Óleo,455.5,4.0,338.59,100202,Auto Parts SP Centro,Grupo Tytan,V004,Peter Parker
NF150090,2024-01-27,32815565898299,Arya Stark,Ravion,CX Sport,Correia Dentada,1157.26,3.0,981.71,400502,Sul Auto Parts,Grupo Pampas,V001,Bruce Wayne
NF150091,2025-01-05,36109210883824,Samwell Tarly,Velox,BZ Turbo,Pastilha de Freio,1392.89,6.0,973.58,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150092,2025-10-13,03966630404633,Arya Stark,Carvex,DX Hybrid,Amortecedor,989.02,3.0,839.67,400502,Sul Auto Parts,Grupo Pampas,V004,Peter Parker
NF150093,2024-11-03,41507325997,Tyrion Lannister,Carvex,BZ Turbo,Bateria,593.35,4.0,397.14,300401,AutoParts Minas,Grupo Serra,V003,Tony Stark
NF150094,2025-10-19,65093300289,Tyrion Lannister,Velox,EX Classic,Pastilha de Freio,1345.95,1.0,1131.16,400501,AutoParts Sul,Grupo Pampa,V006,Steve Rogers
NF150095,2024-12-23,80685405078485,Brienne of Tarth,Carvex,DX Hybrid,Correia Dentada,1169.11,5.0,888.8,400502,Sul Auto Parts,Grupo Pampas,V002,Clark Kent
NF150096,2025-10-12,90068578579077,Robb Stark,Ravion,DX Hybrid,Pastilha de Freio,627.42,4.0,453.34,400501,AutoParts Sul,Grupo Pampa,V003,Tony Stark
NF150097,2024-03-14,83944758979,Theon Greyjoy,Autron,CX Sport,Correia Dentada,1498.98,6.0,1316.43,300401,AutoParts Minas,Grupo Serra,V006,Steve Rogers
NF150098,2024-12-31,72820257839585,Sansa Stark,Autron,EX Classic,Pastilha de Freio,702.23,4.0,448.99,100202,Auto Parts SP Centro,Grupo Tytan,V006,Steve Rogers
NF150099,2024-09-18,95076504669453,Brienne of Tarth,Ravion,BZ Turbo,Bateria,81.39,3.0,50.34,300401,AutoParts Minas,Grupo Serra,V006,Steve Rogers
NF150100,2025-04-01,66867019977,Davos Seaworth,Carvex,EX Classic,Amortecedor,409.57,6.0,321.79,100202,Auto Parts SP Centro,Grupo Tytan,V002,Clark Kent
NF150101,2025-05-23,92602553802848,Daenerys Targaryen,Carvex,DX Hybrid,Amortecedor,1403.07,4.0,894.88,100201,AutoParts São Paulo,Grupo Titan,V002,Clark Kent
NF150102,2024-11-07,36684432038,Jaime Lannister,Ravion,CX Sport,Filtro de Óleo,1222.0,3.0,950.5,100201,AutoParts São Paulo,Grupo Titan,V005,Diana Prince
NF150103,2025-03-31,20827343822381,Daenerys Targaryen,Velox,AX1,Filtro de Óleo,550.52,4.0,381.67,400502,Sul Auto Parts,Grupo Pampas,V007,Natasha Romanoff
NF150104,2024-02-28,20274395824,Arya Stark,MotoriX,BZ Turbo,Pastilha de Freio,793.27,6.0,687.56,400501,AutoParts Sul,Grupo Pampa,V003,Tony Stark
NF150105,2024-10-24,81327439409910,Arya Stark,Velox,CX Sport,Filtro de Óleo,819.36,6.0,596.85,200302,Auto Rio Peças,Grupo Atlantico,V002,Clark Kent
NF150106,2024-11-01,18718129670,Theon Greyjoy,Autron,CX Sport,Filtro de Óleo,375.81,3.0,279.56,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V002,Clark Kent
NF150107,2024-06-05,74881573298,Jon Snow,Autron,AX1,Correia Dentada,1528.75,4.0,1065.67,200302,Auto Rio Peças,Grupo Atlantico,V002,Clark Kent
NF150108,2024-09-27,06698149119,Brienne of Tarth,Carvex,CX Sport,Filtro de Óleo,1441.69,6.0,1128.17,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V003,Tony Stark
NF150109,2024-02-03,51070785191305,Daenerys Targaryen,Carvex,EX Classic,Pastilha de Freio,1474.15,4.0,1163.69,400501,AutoParts Sul,Grupo Pampa,V007,Natasha Romanoff
NF150110,2025-04-22,33397837906656,Daenerys Targaryen,Velox,CX Sport,Bateria,1461.75,4.0,1191.72,300401,AutoParts Minas,Grupo Serra,V001,Bruce Wayne
NF150111,2025-05-01,66947258315,Theon Greyjoy,Autron,DX Hybrid,Pastilha de Freio,-1635.11,4.0,1395.97,100201,AutoParts São Paulo,Grupo Titan,V002,Clark Kent
NF150112,2025-05-26,37945188624618,Cersei Lannister,Carvex,CX Sport,Amortecedor,750.23,3.0,680.06,400501,AutoParts Sul,Grupo Pampa,V005,Diana Prince
NF150113,2025-05-20,50018674829,Samwell Tarly,Ravion,CX Sport,Pastilha de Freio,605.17,6.0,485.48,100201,AutoParts São Paulo,Grupo Titan,V008,Barry Allen
NF150114,2025-05-19,80248240946524,Davos Seaworth,MotoriX,BZ Turbo,Bateria,580.81,5.0,353.28,100202,Auto Parts SP Centro,Grupo Tytan,V007,Natasha Romanoff
NF150115,2025-04-28,48786146568414,Jorah Mormont,Autron,AX1,Bateria,631.95,4.0,460.68,300402,Minas Auto Peças,Grupo Serras,V007,Natasha Romanoff
NF150116,2025-07-15,19614221665,Davos Seaworth,MotoriX,AX1,Bateria,1501.83,5.0,1047.96,200302,Auto Rio Peças,Grupo Atlantico,V002,Clark Kent
NF150117,2024-06-03,41998493341591,Jon Snow,Ravion,AX1,Filtro de Óleo,85.35,5.0,69.45,300401,AutoParts Minas,Grupo Serra,V003,Tony Stark
NF150118,2025-05-30,07989008717,Jorah Mormont,Velox,AX1,Bateria,1522.38,3.0,1019.82,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150119,2025-02-03,89630585417,Daenerys Targaryen,Ravion,AX1,Correia Dentada,541.06,3.0,335.55,100202,Auto Parts SP Centro,Grupo Tytan,V007,Natasha Romanoff
NF150120,2025-09-19,01536084852,Bran Stark,MotoriX,DX Hybrid,Filtro de Óleo,1417.18,6.0,1187.29,300401,AutoParts Minas,Grupo Serra,V001,Bruce Wayne
NF150121,2025-06-04,63540348662,Davos Seaworth,Ravion,EX Classic,Filtro de Óleo,1648.16,3.0,1240.07,100202,Auto Parts SP Centro,Grupo Tytan,V005,Diana Prince
NF150122,2024-09-06,97190726377921,Robb Stark,MotoriX,AX1,Pastilha de Freio,1556.65,3.0,1245.11,200302,Auto Rio Peças,Grupo Atlantico,V001,Bruce Wayne
NF150123,2024-09-05,96402707112282,Daenerys Targaryen,Ravion,DX Hybrid,Filtro de Óleo,1455.96,2.0,875.86,200302,Auto Rio Peças,Grupo Atlantico,V001,Bruce Wayne
NF150124,2025-11-08,89476083028,Daenerys Targaryen,Carvex,CX Sport,Amortecedor,204.08,1.0,158.75,100202,Auto Parts SP Centro,Grupo Tytan,V001,Bruce Wayne
NF150125,2024-03-21,31000260294742,Jorah Mormont,Carvex,CX Sport,Filtro de Óleo,611.84,3.0,396.05,200302,Auto Rio Peças,Grupo Atlantico,V001,Bruce Wayne
NF150126,2024-10-07,35182105655181,Tyrion Lannister,Velox,EX Classic,Filtro de Óleo,637.99,1.0,415.89,400502,Sul Auto Parts,Grupo Pampas,V006,Steve Rogers
NF150127,2024-08-11,63540134992191,Sansa Stark,Autron,AX1,Filtro de Óleo,1197.9,5.0,812.64,100202,Auto Parts SP Centro,Grupo Tytan,V004,Peter Parker
NF150128,2025-04-05,21446627175,Tyrion Lannister,Ravion,CX Sport,Amortecedor,1001.37,1.0,716.66,400502,Sul Auto Parts,Grupo Pampas,V005,Diana Prince
NF150129,2025-08-06,93014042558,Theon Greyjoy,Velox,BZ Turbo,Correia Dentada,390.65,2.0,294.57,300401,AutoParts Minas,Grupo Serra,V002,Clark Kent
NF150130,2025-11-10,65340777117,Sansa Stark,Carvex,DX Hybrid,Correia Dentada,1547.4,2.0,1246.05,100201,AutoParts São Paulo,Grupo Titan,V002,Clark Kent
NF150131,2024-04-22,06803828531,Samwell Tarly,MotoriX,DX Hybrid,Amortecedor,491.22,3.0,381.94,200302,Auto Rio Peças,Grupo Atlantico,V007,Natasha Romanoff
NF150132,2025-07-04,37925265052,Daenerys Targaryen,MotoriX,AX1,Pastilha de Freio,389.55,1.0,311.96,400502,Sul Auto Parts,Grupo Pampas,V001,Bruce Wayne
NF150133,2025-09-28,25609523029497,Ned Stark,Ravion,DX Hybrid,Pastilha de Freio,101.69,4.0,68.6,400502,Sul Auto Parts,Grupo Pampas,V004,Peter Parker
NF150134,2025-08-18,50236219764,Jaime Lannister,Autron,EX Classic,Correia Dentada,529.05,5.0,337.84,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V003,Tony Stark
NF150135,2025-11-04,89588361949,Cersei Lannister,MotoriX,CX Sport,Pastilha de Freio,1539.96,6.0,1245.97,200302,Auto Rio Peças,Grupo Atlantico,V008,Barry Allen
NF150136,2025-02-14,10826961797598,Bran Stark,MotoriX,CX Sport,Pastilha de Freio,880.67,3.0,749.82,200302,Auto Rio Peças,Grupo Atlantico,V007,Natasha Romanoff
NF150137,2025-10-06,48339354421,Daenerys Targaryen,Velox,AX1,Pastilha de Freio,1475.55,6.0,893.65,300402,Minas Auto Peças,Grupo Serras,V002,Clark Kent
NF150138,2024-03-25,74501424119042,Bran Stark,Ravion,DX Hybrid,Pastilha de Freio,475.55,3.0,422.38,100201,AutoParts São Paulo,Grupo Titan,V002,Clark Kent
NF150139,2024-10-29,03417119237,Jorah Mormont,Carvex,EX Classic,Correia Dentada,404.04,5.0,346.53,400501,AutoParts Sul,Grupo Pampa,V007,Natasha Romanoff
NF150140,2024-08-04,79323442203,Tyrion Lannister,Velox,BZ Turbo,Correia Dentada,977.58,3.0,813.17,200302,Auto Rio Peças,Grupo Atlantico,V005,Diana Prince
NF150141,2025-06-25,37576587590171,Tyrion Lannister,Autron,EX Classic,Pastilha de Freio,131.99,3.0,84.24,300402,Minas Auto Peças,Grupo Serras,V008,Barry Allen
NF150142,2025-06-16,52896232665513,Ned Stark,Autron,AX1,Amortecedor,188.7,6.0,150.62,300402,Minas Auto Peças,Grupo Serras,V007,Natasha Romanoff
NF150143,2025-02-06,32371853048,Jorah Mormont,Carvex,EX Classic,Filtro de Óleo,1701.88,6.0,1513.59,300401,AutoParts Minas,Grupo Serra,V008,Barry Allen
NF150144,2025-01-18,95664130693,Bran Stark,Velox,CX Sport,Pastilha de Freio,1626.97,3.0,1094.85,300402,Minas Auto Peças,Grupo Serras,V005,Diana Prince
NF150145,2025-04-26,35191703764764,Bran Stark,Carvex,CX Sport,Amortecedor,1554.34,6.0,1366.89,400502,Sul Auto Parts,Grupo Pampas,V006,Steve Rogers
NF150146,2025-04-01,60333585190,Jorah Mormont,Ravion,AX1,Pastilha de Freio,1066.02,1.0,844.25,100202,Auto Parts SP Centro,Grupo Tytan,V008,Barry Allen
NF150147,2024-12-01,45827880296,Ned Stark,MotoriX,BZ Turbo,Bateria,710.77,6.0,525.05,400501,AutoParts Sul,Grupo Pampa,V004,Peter Parker
NF150148,2024-08-27,43823923917934,Davos Seaworth,Ravion,AX1,Correia Dentada,447.01,2.0,358.48,300401,AutoParts Minas,Grupo Serra,V005,Diana Prince
NF150149,2024-11-23,59644237123951,Tyrion Lannister,MotoriX,DX Hybrid,Correia Dentada,1703.9,4.0,1496.3,400501,AutoParts Sul,Grupo Pampa,V003,Tony Stark
NF150150,2025-08-29,56556279800758,Jaime Lannister,Ravion,CX Sport,Pastilha de Freio,1402.16,5.0,1059.47,200302,Auto Rio Peças,Grupo Atlantico,V008,Barry Allen
